time[s],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],xf[ft],yf[ft],zf[ft],e0,ex,ey,ez
  0.000000000000e+00,  5.000000000000e+01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00, -2.000000000000e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  1.000000000000e-02,  4.910060835358e+01,  0.000000000000e+00,  3.188403444536e-01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  4.954763267912e-01,  0.000000000000e+00, -1.999984010173e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  2.000000000000e-02,  4.823241963875e+01,  0.000000000000e+00,  6.320922210131e-01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  9.821161561172e-01,  0.000000000000e+00, -1.999936418184e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  3.000000000000e-02,  4.739380677050e+01,  0.000000000000e+00,  9.400390770916e-01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.460223286750e+00,  0.000000000000e+00, -1.999857768536e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  4.000000000000e-02,  4.658325194062e+01,  0.000000000000e+00,  1.242944734368e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  1.930085800930e+00,  0.000000000000e+00, -1.999748578384e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  5.000000000000e-02,  4.579933757734e+01,  0.000000000000e+00,  1.541054989013e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.391977111152e+00,  0.000000000000e+00, -1.999609339414e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  6.000000000000e-02,  4.504073818872e+01,  0.000000000000e+00,  1.834599055385e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  2.846156921048e+00,  0.000000000000e+00, -1.999440519572e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  7.000000000000e-02,  4.430621299075e+01,  0.000000000000e+00,  2.123790870793e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  3.292872108715e+00,  0.000000000000e+00, -1.999242564659e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  8.000000000000e-02,  4.359459923359e+01,  0.000000000000e+00,  2.408830276682e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  3.732357539875e+00,  0.000000000000e+00, -1.999015899795e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  9.000000000000e-02,  4.290480615007e+01,  0.000000000000e+00,  2.689904089710e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  4.164836817468e+00,  0.000000000000e+00, -1.998760930775e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  1.000000000000e-01,  4.223580945991e+01,  0.000000000000e+00,  2.967187074536e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  4.590522973563e+00,  0.000000000000e+00, -1.998478045323e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  1.100000000000e-01,  4.158664637115e+01,  0.000000000000e+00,  3.240842828714e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  5.009619108840e+00,  0.000000000000e+00, -1.998167614254e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  1.200000000000e-01,  4.095641102704e+01,  0.000000000000e+00,  3.511024588858e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  5.422318984360e+00,  0.000000000000e+00, -1.997829992545e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  1.300000000000e-01,  4.034425035302e+01,  0.000000000000e+00,  3.777875966178e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  5.828807569835e+00,  0.000000000000e+00, -1.997465520338e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  1.400000000000e-01,  3.974936026333e+01,  0.000000000000e+00,  4.041531618550e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  6.229261552194e+00,  0.000000000000e+00, -1.997074523866e+02,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
